ws_diff,ws_diff_bin,steps_diff
-29.0,"(-48, -16]",-2485.6481973679042
-29.0,"(-48, -16]",-1961.787878787878
-29.0,"(-48, -16]",-17893.409987689738
-28.0,"(-48, -16]",50.03884822290911
-28.0,"(-48, -16]",1057.4685714285715
-28.0,"(-48, -16]",-5540.107692307692
-28.0,"(-48, -16]",784.4812030075187
-28.0,"(-48, -16]",3086.0134183474993
-28.0,"(-48, -16]",-202.5
-28.0,"(-48, -16]",-1648.7842105263155
-28.0,"(-48, -16]",-4402.3110656741665
-28.0,"(-48, -16]",423.8076923076923
-27.0,"(-48, -16]",1252.6666666666667
-27.0,"(-48, -16]",2532.536807977069
-27.0,"(-48, -16]",-4216.07
-27.0,"(-48, -16]",1070.166666666667
-27.0,"(-48, -16]",4318.693846153846
-27.0,"(-48, -16]",3995.858181818182
-27.0,"(-48, -16]",1578.863354037267
-26.0,"(-48, -16]",-48.423506311048186
-26.0,"(-48, -16]",-396.3853754940714
-26.0,"(-48, -16]",-3130.1256038647352
-26.0,"(-48, -16]",-348.66666666666697
-26.0,"(-48, -16]",688.730769230769
-26.0,"(-48, -16]",-3578.75
-26.0,"(-48, -16]",1788.111383492036
-26.0,"(-48, -16]",-3361.9772727272716
-26.0,"(-48, -16]",-4942.347222222223
-26.0,"(-48, -16]",-1460.6666666666665
-26.0,"(-48, -16]",-1892.3166666666666
-25.0,"(-48, -16]",5868.08
-25.0,"(-48, -16]",-1238.4615384615379
-25.0,"(-48, -16]",-6038.4850000000015
-25.0,"(-48, -16]",1505.0
-25.0,"(-48, -16]",2070.18733774314
-25.0,"(-48, -16]",-3706.994285714285
-25.0,"(-48, -16]",-1489.5438596491224
-25.0,"(-48, -16]",-6043.363636363636
-25.0,"(-48, -16]",-188.30000000000015
-25.0,"(-48, -16]",-459.4832271819214
-24.0,"(-48, -16]",-169.1262626262624
-24.0,"(-48, -16]",699.2134387351781
-24.0,"(-48, -16]",1189.7000000000007
-24.0,"(-48, -16]",2948.240000000001
-24.0,"(-48, -16]",198.0
-24.0,"(-48, -16]",3679.6349206349214
-23.0,"(-48, -16]",448.46279038332335
-23.0,"(-48, -16]",-6355.5
-23.0,"(-48, -16]",44.53442028985501
-23.0,"(-48, -16]",-3133.833333333334
-23.0,"(-48, -16]",-4786.03090909091
-23.0,"(-48, -16]",-208.57608695652198
-23.0,"(-48, -16]",1222.799532376923
-23.0,"(-48, -16]",511.0461538461541
