hours_used,hours_used,hours_used_diff,ws_diff
post,pre,,
12.971739130434722,17.72013888888889,-4.748399758454168,51.0
8.452777777777778,12.8,-4.347222222222223,44.0
14.51515151515139,13.412666666666667,1.102484848484723,36.0
14.062820512820277,13.854545454545278,0.20827505827499948,-36.0
10.811111111111112,11.801333333333334,-0.9902222222222221,7.0
12.629166666666666,17.666666666666668,-5.037500000000001,-2.0
13.14375,13.091176470588055,0.05257352941194604,2.0
12.625694444444445,13.261111111111111,-0.6354166666666661,-2.0
13.457692307692222,15.207051282051111,-1.7493589743588895,-10.0
12.520238095238055,12.573611111111111,-0.05337301587305632,31.0
12.694666666666667,13.070512820512779,-0.375846153846112,-31.0
10.6625,14.688666666666666,-4.026166666666667,-42.0
14.689743589743333,11.53148148148139,3.158262108261944,42.0
10.206666666666667,15.208333333333334,-5.001666666666667,-42.0
17.1125,15.914,1.198500000000001,-4.0
16.193589743589722,17.838541666666668,-1.6449519230769454,4.0
12.460897435897222,11.434615384615277,1.0262820512819442,36.0
18.020833333333332,14.297916666666667,3.7229166666666647,-4.0
14.005555555555556,14.477777777777778,-0.47222222222222143,4.0
15.375,13.891666666666667,1.4833333333333325,29.0
14.0975,11.916666666666666,2.180833333333334,-29.0
15.286111111111111,13.964,1.322111111111111,-65.0
12.635714285714167,13.035294117646945,-0.3995798319327779,9.0
13.105555555555556,15.158,-2.0524444444444434,-43.0
12.616666666666667,11.705952380952223,0.9107142857144446,-10.0
12.779365079365,12.571666666666667,0.207698412698333,10.0
13.1125,12.321428571428333,0.7910714285716676,-22.0
16.976041666666667,9.683333333333334,7.292708333333334,-4.0
17.070833333333333,17.520138888888887,-0.4493055555555543,-23.0
14.439814814814723,15.78888888888889,-1.3490740740741671,24.0
17.454166666666666,14.06875,3.385416666666666,-29.0
13.255833333333333,12.293650793650556,0.962182539682777,9.0
19.443589743589722,19.229166666666668,0.21442307692305462,20.0
15.972,16.428,-0.4560000000000013,-14.0
14.490833333333333,15.687037037036944,-1.1962037037036115,-8.0
12.054,14.368181818181666,-2.314181818181666,-14.0
14.812,11.315972222222221,3.496027777777778,14.0
14.078,14.547222222222222,-0.4692222222222231,5.0
13.057017543859445,14.355555555555556,-1.2985380116961114,7.0
13.106060606060556,13.380555555555556,-0.27449494949500064,-15.0
13.393859649122778,13.638095238095,-0.24423558897222186,58.0
11.645833333333334,13.730701754385834,-2.0848684210524997,-29.0
13.80641025641,13.303623188405556,0.5027870680044444,-37.0
13.470833333333333,12.629166666666666,0.8416666666666668,1.0
18.907575757575554,14.783333333333333,4.124242424242221,-21.0
4.708333333333333,12.706818181818056,-7.998484848484723,7.0
12.698809523809444,4.708333333333333,7.9904761904761115,32.0
21.558333333333334,17.363888888888887,4.194444444444446,-26.0
14.894871794871667,13.481818181818056,1.413053613053611,-6.0
13.026190476190278,19.85,-6.823809523809723,11.0
18.9022727272725,14.283333333333333,4.618939393939167,26.0
13.92857142857139,15.732539682539445,-1.8039682539680548,56.0
16.511538461538333,17.18888888888889,-0.6773504273505573,-3.0
11.708333333333334,13.644791666666666,-1.9364583333333325,-42.0
17.00138888888889,16.621794871794723,0.37959401709416696,17.0
8.889473684210278,8.666666666666666,0.22280701754361232,-3.0
8.410606060605833,13.102380952380834,-4.691774891775001,-42.0
10.640625,9.0875,1.5531249999999996,30.0
20.316666666666666,9.454761904761666,10.861904761905,15.0
11.695833333333333,3.3,8.395833333333332,18.0
14.55625,15.334782608695555,-0.7785326086955546,-29.0
11.140909090908888,11.236507936507778,-0.09559884559888943,18.0
13.216666666666667,12.611538461538334,0.6051282051283327,22.0
17.64761904761889,20.625,-2.977380952381111,-22.0
18.459333333333333,13.5875,4.871833333333333,17.0
16.38269230769222,14.946212121211945,1.436480186480276,-13.0
17.307407407407222,16.76527777777778,0.5421296296294429,-2.0
17.280208333333334,13.47888888888889,3.801319444444445,22.0
11.775333333333334,10.220370370370278,1.5549629629630566,-58.0
17.857692307692222,15.968181818181666,1.8895104895105561,-11.0
12.843333333333334,20.522222222222222,-7.678888888888888,3.0
16.479411764705834,16.746969696969444,-0.26755793226361035,4.0
19.608974358974166,14.178205128205,5.430769230769165,0.0
16.112179487179443,12.781666666666666,3.3305128205127765,-13.0
9.23787878787861,19.365972222222222,-10.128093434343612,-3.0
11.969841269841112,14.167647058823333,-2.1978057889822207,-2.0
14.835606060605834,17.277083333333334,-2.4414772727275,-27.0
15.766025641025555,15.408,0.3580256410255558,13.0
13.340151515151389,15.338666666666667,-1.998515151515278,-1.0
12.598717948717777,5.416666666666667,7.18205128205111,11.0
18.97888888888889,15.744871794871667,3.234017094017222,4.0
9.344444444444445,10.366666666666667,-1.0222222222222221,-60.0
13.775,9.233333333333333,4.541666666666668,19.0
10.287719298245555,12.065277777777778,-1.7775584795322228,-23.0
16.10641025641,14.289583333333333,1.8168269230766683,-18.0
13.40625,12.091666666666667,1.3145833333333332,11.0
14.919230769230555,15.371333333333334,-0.4521025641027787,18.0
15.219230769230556,13.327777777777778,1.8914529914527787,18.0
15.035333333333334,16.498666666666665,-1.4633333333333312,25.0
13.799242424242221,16.226,-2.4267575757577777,-19.0
7.929166666666666,12.076923076923055,-4.147756410256389,25.0
11.223333333333333,18.204761904761668,-6.981428571428335,-17.0
14.1525,12.003333333333334,2.149166666666666,17.0
11.305555555555555,11.176470588235278,0.12908496732027785,19.0
11.470634920634723,18.772222222222222,-7.3015873015874995,-19.0
13.609259259259167,11.558333333333334,2.0509259259258332,60.0
20.25,18.305333333333333,1.9446666666666665,1.0
