diff_t1k_minc,diff_t1k_minc_bin,ws_diff,ws_diff_bin,steps_diff
-27874.59765625,"[-inf, -6250)",-54.0,"(-80, -48]",-2238.850000000001
-18817.6484375,"[-inf, -6250)",-54.0,"(-80, -48]",-5864.229460015908
-14883.8203125,"[-inf, -6250)",-54.0,"(-80, -48]",-3318.4103021604865
-13786.53125,"[-inf, -6250)",-54.0,"(-80, -48]",-1558.7675577793002
-8148.34765625,"[-inf, -6250)",-54.0,"(-80, -48]",4699.777777777777
-8148.34765625,"[-inf, -6250)",-54.0,"(-80, -48]",-1005.9027777777783
-8148.34765625,"[-inf, -6250)",-54.0,"(-80, -48]",1225.9545454545455
-3987.15625,"[-6250, 6954)",-54.0,"(-80, -48]",1159.5874125874125
1163.97265625,"[-6250, 6954)",-54.0,"(-80, -48]",-56.960000000000036
1231.27734375,"[-6250, 6954)",-54.0,"(-80, -48]",-159.82244835870893
6855.1171875,"[-6250, 6954)",-54.0,"(-80, -48]",-1047.293333333333
16381.5703125,"[6954, inf)",-54.0,"(-80, -48]",1506.7980769230774
-15143.2734375,"[-inf, -6250)",-53.0,"(-80, -48]",-3270.6816666666664
-14177.14453125,"[-inf, -6250)",-53.0,"(-80, -48]",-909.2892307692308
-6246.23046875,"[-6250, 6954)",-53.0,"(-80, -48]",-2142.42
-4374.2890625,"[-6250, 6954)",-53.0,"(-80, -48]",-4416.783858455284
9667.67578125,"[6954, inf)",-53.0,"(-80, -48]",-1871.166666666666
45148.25,"[6954, inf)",-53.0,"(-80, -48]",-2657.432436968391
-22827.5390625,"[-inf, -6250)",-52.0,"(-80, -48]",5993.76
-14855.8203125,"[-inf, -6250)",-52.0,"(-80, -48]",-4412.5
-13021.84375,"[-inf, -6250)",-52.0,"(-80, -48]",-4174.883794380409
-9798.55078125,"[-inf, -6250)",-52.0,"(-80, -48]",436.0
-3414.08984375,"[-6250, 6954)",-52.0,"(-80, -48]",-1401.8803961225012
-3414.08984375,"[-6250, 6954)",-52.0,"(-80, -48]",1594.386983681994
-1471.9375,"[-6250, 6954)",-52.0,"(-80, -48]",-2055.4161084577136
-81.5859375,"[-6250, 6954)",-52.0,"(-80, -48]",-373.1343947317282
938.8203125,"[-6250, 6954)",-52.0,"(-80, -48]",-787.3253628673566
2524.31640625,"[-6250, 6954)",-52.0,"(-80, -48]",-2418.894448894562
5322.546875,"[-6250, 6954)",-52.0,"(-80, -48]",-573.0
7296.515625,"[6954, inf)",-52.0,"(-80, -48]",-153.8253968253969
9667.67578125,"[6954, inf)",-52.0,"(-80, -48]",-1013.0
13234.921875,"[6954, inf)",-52.0,"(-80, -48]",3652.041666666667
19424.03515625,"[6954, inf)",-52.0,"(-80, -48]",2965.758333333333
20378.28125,"[6954, inf)",-52.0,"(-80, -48]",-6437.44871794872
,,-52.0,"(-80, -48]",-4209.179487179486
-15341.1171875,"[-inf, -6250)",-51.0,"(-80, -48]",-3169.888888888889
-12832.3984375,"[-inf, -6250)",-51.0,"(-80, -48]",1620.3184509279995
-5780.34765625,"[-6250, 6954)",-51.0,"(-80, -48]",-409.515789473684
-5411.953125,"[-6250, 6954)",-51.0,"(-80, -48]",-1152.0929487179485
-4181.9296875,"[-6250, 6954)",-51.0,"(-80, -48]",164.09935897435938
1082.86328125,"[-6250, 6954)",-51.0,"(-80, -48]",-1533.221052631579
4509.53515625,"[-6250, 6954)",-51.0,"(-80, -48]",-736.3975597561902
5542.56640625,"[-6250, 6954)",-51.0,"(-80, -48]",-22.149999999999643
5957.9296875,"[-6250, 6954)",-51.0,"(-80, -48]",3470.212318332624
9034.5859375,"[6954, inf)",-51.0,"(-80, -48]",-3523.1875
10079.57421875,"[6954, inf)",-51.0,"(-80, -48]",-447.3272727272727
-22891.98828125,"[-inf, -6250)",-50.0,"(-80, -48]",-2735.708333333333
-17011.09765625,"[-inf, -6250)",-50.0,"(-80, -48]",-6755.263157894738
-14586.9140625,"[-inf, -6250)",-50.0,"(-80, -48]",1882.15
-13014.0703125,"[-inf, -6250)",-50.0,"(-80, -48]",-2885.9984615384615
-12346.046875,"[-inf, -6250)",-50.0,"(-80, -48]",-2158.833333333334
-12346.046875,"[-inf, -6250)",-50.0,"(-80, -48]",58.24223602484382
-12311.81640625,"[-inf, -6250)",-50.0,"(-80, -48]",947.1818181818179
-2440.07421875,"[-6250, 6954)",-50.0,"(-80, -48]",2908.5
4853.28125,"[-6250, 6954)",-50.0,"(-80, -48]",354.54515050167174
12525.5234375,"[6954, inf)",-50.0,"(-80, -48]",-1689.995555555555
