diff_t1k_minc,diff_t1k_minc_bin,ws_diff,ws_diff_bin,steps_diff
-9033.515625,"[-inf, -6250)",-27.0,"(-48, -16]",-4618.240723333649
-7752.71484375,"[-inf, -6250)",-27.0,"(-48, -16]",690.1210165541934
-7493.46875,"[-inf, -6250)",-27.0,"(-48, -16]",-4377.392998457126
-7493.46875,"[-inf, -6250)",-27.0,"(-48, -16]",1505.9960747691573
-7024.640625,"[-inf, -6250)",-27.0,"(-48, -16]",-1421.893290563445
-6911.0546875,"[-inf, -6250)",-27.0,"(-48, -16]",4413.3
-6210.9453125,"[-6250, 6954)",-27.0,"(-48, -16]",1437.4412576728573
-5617.65234375,"[-6250, 6954)",-27.0,"(-48, -16]",1070.166666666667
-4879.66796875,"[-6250, 6954)",-27.0,"(-48, -16]",-5286.7654918083335
-749.609375,"[-6250, 6954)",-27.0,"(-48, -16]",-597.1955128205128
-713.6484375,"[-6250, 6954)",-27.0,"(-48, -16]",4318.693846153846
-46.5859375,"[-6250, 6954)",-27.0,"(-48, -16]",-2371.3125
-46.5859375,"[-6250, 6954)",-27.0,"(-48, -16]",-865.4863636363643
3695.55078125,"[-6250, 6954)",-27.0,"(-48, -16]",-79.01724064979953
6302.9765625,"[-6250, 6954)",-27.0,"(-48, -16]",-452.2731806735997
7620.125,"[6954, inf)",-27.0,"(-48, -16]",-894.5175438596492
7892.03515625,"[6954, inf)",-27.0,"(-48, -16]",-3833.083333333334
8657.44140625,"[6954, inf)",-27.0,"(-48, -16]",1578.863354037267
15324.48828125,"[6954, inf)",-27.0,"(-48, -16]",-979.9454545454539
18412.8828125,"[6954, inf)",-27.0,"(-48, -16]",2610.2441283543358
23998.96875,"[6954, inf)",-27.0,"(-48, -16]",2495.7333333333336
26740.75,"[6954, inf)",-27.0,"(-48, -16]",685.2791467303441
29907.67578125,"[6954, inf)",-27.0,"(-48, -16]",-956.852724801452
30404.28515625,"[6954, inf)",-27.0,"(-48, -16]",-574.9368421052632
34771.603515625,"[6954, inf)",-27.0,"(-48, -16]",4950.010769230769
46928.40625,"[6954, inf)",-27.0,"(-48, -16]",260.61054629471533
,,-27.0,"(-48, -16]",-1573.074411334261
,,-27.0,"(-48, -16]",94.59898230963607
,,-27.0,"(-48, -16]",-2247.9683794466405
-45166.5703125,"[-inf, -6250)",-26.0,"(-48, -16]",525.4105263157893
-44624.2890625,"[-inf, -6250)",-26.0,"(-48, -16]",1095.873846153846
-32620.51953125,"[-inf, -6250)",-26.0,"(-48, -16]",1137.8727283756525
-32620.51953125,"[-inf, -6250)",-26.0,"(-48, -16]",1788.111383492036
-28793.046875,"[-inf, -6250)",-26.0,"(-48, -16]",-715.8525641025635
-26863.44140625,"[-inf, -6250)",-26.0,"(-48, -16]",-311.11111111111086
-24659.11328125,"[-inf, -6250)",-26.0,"(-48, -16]",-364.4137913200703
-24659.11328125,"[-inf, -6250)",-26.0,"(-48, -16]",399.108695652174
-23663.58984375,"[-inf, -6250)",-26.0,"(-48, -16]",702.2528653612362
-23655.34765625,"[-inf, -6250)",-26.0,"(-48, -16]",558.5216794806665
-20560.37890625,"[-inf, -6250)",-26.0,"(-48, -16]",-4942.347222222223
-18559.4375,"[-inf, -6250)",-26.0,"(-48, -16]",-850.5111410732138
-18118.41796875,"[-inf, -6250)",-26.0,"(-48, -16]",688.730769230769
-17754.2421875,"[-inf, -6250)",-26.0,"(-48, -16]",-1017.2384615384616
-16688.1484375,"[-inf, -6250)",-26.0,"(-48, -16]",-3361.9772727272716
-15045.96875,"[-inf, -6250)",-26.0,"(-48, -16]",-171.8629687125713
-14443.07421875,"[-inf, -6250)",-26.0,"(-48, -16]",-1325.2654236793844
-13347.578125,"[-inf, -6250)",-26.0,"(-48, -16]",-1464.6457142857153
-12916.578125,"[-inf, -6250)",-26.0,"(-48, -16]",-396.3853754940714
-12916.578125,"[-inf, -6250)",-26.0,"(-48, -16]",760.6736842105262
-12916.578125,"[-inf, -6250)",-26.0,"(-48, -16]",2641.3286713286725
-11013.30078125,"[-inf, -6250)",-26.0,"(-48, -16]",-829.826701124801
-9403.2421875,"[-inf, -6250)",-26.0,"(-48, -16]",-4844.579047619047
-8615.8828125,"[-inf, -6250)",-26.0,"(-48, -16]",-48.423506311048186
-8615.8828125,"[-inf, -6250)",-26.0,"(-48, -16]",-2767.7402065128267
-7303.59765625,"[-inf, -6250)",-26.0,"(-48, -16]",1338.3461538461545
-3750.6640625,"[-6250, 6954)",-26.0,"(-48, -16]",2268.489029543301
-555.94140625,"[-6250, 6954)",-26.0,"(-48, -16]",-312.6618357487923
-23.37890625,"[-6250, 6954)",-26.0,"(-48, -16]",-1590.1455621850366
309.8125,"[-6250, 6954)",-26.0,"(-48, -16]",131.1695652173912
457.296875,"[-6250, 6954)",-26.0,"(-48, -16]",1060.5673076923076
1775.3203125,"[-6250, 6954)",-26.0,"(-48, -16]",628.8611111111109
1775.3203125,"[-6250, 6954)",-26.0,"(-48, -16]",-348.66666666666697
1775.3203125,"[-6250, 6954)",-26.0,"(-48, -16]",1164.1904761904761
1775.3203125,"[-6250, 6954)",-26.0,"(-48, -16]",-508.53846153846143
1775.3203125,"[-6250, 6954)",-26.0,"(-48, -16]",3842.9428571428575
1775.3203125,"[-6250, 6954)",-26.0,"(-48, -16]",-1485.2675438596486
1775.3203125,"[-6250, 6954)",-26.0,"(-48, -16]",-44.017604065050364
1823.921875,"[-6250, 6954)",-26.0,"(-48, -16]",340.76380952380936
4026.1640625,"[-6250, 6954)",-26.0,"(-48, -16]",1243.0061289466662
5633.8515625,"[-6250, 6954)",-26.0,"(-48, -16]",3627.159090909091
6279.171875,"[-6250, 6954)",-26.0,"(-48, -16]",-3578.75
6606.14453125,"[-6250, 6954)",-26.0,"(-48, -16]",286.77666666666664
7831.55859375,"[6954, inf)",-26.0,"(-48, -16]",1613.090909090909
9398.65234375,"[6954, inf)",-26.0,"(-48, -16]",-437.0938461538452
10792.75390625,"[6954, inf)",-26.0,"(-48, -16]",-1787.964705882353
11458.28515625,"[6954, inf)",-26.0,"(-48, -16]",-515.3552068849995
14027.8515625,"[6954, inf)",-26.0,"(-48, -16]",6094.785714285714
15126.703125,"[6954, inf)",-26.0,"(-48, -16]",-2419.9473684210525
15294.3046875,"[6954, inf)",-26.0,"(-48, -16]",841.4353123558385
17091.4609375,"[6954, inf)",-26.0,"(-48, -16]",-3278.981059943938
17091.4609375,"[6954, inf)",-26.0,"(-48, -16]",1318.663461538461
18327.8671875,"[6954, inf)",-26.0,"(-48, -16]",-6625.9854545454555
18585.484375,"[6954, inf)",-26.0,"(-48, -16]",1640.0581975779166
18585.484375,"[6954, inf)",-26.0,"(-48, -16]",-344.45690378288515
18585.484375,"[6954, inf)",-26.0,"(-48, -16]",677.9874311038337
18766.734375,"[6954, inf)",-26.0,"(-48, -16]",-143.81111111111113
18825.7109375,"[6954, inf)",-26.0,"(-48, -16]",-1907.371666666667
21018.40625,"[6954, inf)",-26.0,"(-48, -16]",652.5237778875963
23971.41015625,"[6954, inf)",-26.0,"(-48, -16]",631.0863030678842
24039.17578125,"[6954, inf)",-26.0,"(-48, -16]",-1243.2575757575758
43392.98828125,"[6954, inf)",-26.0,"(-48, -16]",1100.8883036300012
45663.2109375,"[6954, inf)",-26.0,"(-48, -16]",1300.3249999999996
,,-26.0,"(-48, -16]",-1152.2729411764708
,,-26.0,"(-48, -16]",-3739.018181818182
,,-26.0,"(-48, -16]",-3130.1256038647352
-47167.23828125,"[-inf, -6250)",-25.0,"(-48, -16]",92.9416666666666
-37602.50390625,"[-inf, -6250)",-25.0,"(-48, -16]",8743.464863706346
-27310.109375,"[-inf, -6250)",-25.0,"(-48, -16]",-1710.6865221571895
-27310.109375,"[-inf, -6250)",-25.0,"(-48, -16]",-1807.8342785037273
-27139.89453125,"[-inf, -6250)",-25.0,"(-48, -16]",3512.5561497326207
-25904.6875,"[-inf, -6250)",-25.0,"(-48, -16]",-2670.0750000000007
-20345.359375,"[-inf, -6250)",-25.0,"(-48, -16]",-1238.4615384615379
-19529.6796875,"[-inf, -6250)",-25.0,"(-48, -16]",-1088.5893719806763
-18031.2578125,"[-inf, -6250)",-25.0,"(-48, -16]",-1583.1858974358975
-18031.2578125,"[-inf, -6250)",-25.0,"(-48, -16]",-529.2646153846154
-17899.515625,"[-inf, -6250)",-25.0,"(-48, -16]",-899.5012605185002
-17899.515625,"[-inf, -6250)",-25.0,"(-48, -16]",236.13888888888889
-16311.796875,"[-inf, -6250)",-25.0,"(-48, -16]",4041.7564102564106
-14968.12890625,"[-inf, -6250)",-25.0,"(-48, -16]",-1640.8367238822666
-13406.19921875,"[-inf, -6250)",-25.0,"(-48, -16]",-273.3333333333335
-12264.4609375,"[-inf, -6250)",-25.0,"(-48, -16]",917.7799011329062
-11438.5703125,"[-inf, -6250)",-25.0,"(-48, -16]",-2521.9083333333333
-11103.9140625,"[-inf, -6250)",-25.0,"(-48, -16]",1505.0
-10604.27734375,"[-inf, -6250)",-25.0,"(-48, -16]",565.3194444444442
-10426.48046875,"[-inf, -6250)",-25.0,"(-48, -16]",-4600.088235294118
-10238.7421875,"[-inf, -6250)",-25.0,"(-48, -16]",-1923.5072299570345
-8471.06640625,"[-inf, -6250)",-25.0,"(-48, -16]",1221.5979020979014
-8443.30078125,"[-inf, -6250)",-25.0,"(-48, -16]",-5.202380952380737
-8443.30078125,"[-inf, -6250)",-25.0,"(-48, -16]",-2060.608695652174
-6249.58984375,"[-6250, 6954)",-25.0,"(-48, -16]",1249.6107692307687
-6249.58984375,"[-6250, 6954)",-25.0,"(-48, -16]",-188.30000000000015
-6249.58984375,"[-6250, 6954)",-25.0,"(-48, -16]",-691.791666666667
-6181.04296875,"[-6250, 6954)",-25.0,"(-48, -16]",-2257.0705882352936
-3621.0859375,"[-6250, 6954)",-25.0,"(-48, -16]",776.0476190476194
-2421.359375,"[-6250, 6954)",-25.0,"(-48, -16]",-2949.550476190477
-2183.56640625,"[-6250, 6954)",-25.0,"(-48, -16]",929.3786231884056
-1595.75,"[-6250, 6954)",-25.0,"(-48, -16]",262.447619047618
-1269.48828125,"[-6250, 6954)",-25.0,"(-48, -16]",-898.6923076923076
-1117.8671875,"[-6250, 6954)",-25.0,"(-48, -16]",-3706.994285714285
-278.078125,"[-6250, 6954)",-25.0,"(-48, -16]",-9555.925
379.6171875,"[-6250, 6954)",-25.0,"(-48, -16]",1281.9709733931522
773.98046875,"[-6250, 6954)",-25.0,"(-48, -16]",644.2440116046191
2211.71875,"[-6250, 6954)",-25.0,"(-48, -16]",-1750.5755278839426
2211.71875,"[-6250, 6954)",-25.0,"(-48, -16]",2070.18733774314
3439.265625,"[-6250, 6954)",-25.0,"(-48, -16]",-2017.3936842105268
3575.11328125,"[-6250, 6954)",-25.0,"(-48, -16]",508.93333333333334
4891.36328125,"[-6250, 6954)",-25.0,"(-48, -16]",-3231.6468531468536
5180.09765625,"[-6250, 6954)",-25.0,"(-48, -16]",2243.163043478261
5206.81640625,"[-6250, 6954)",-25.0,"(-48, -16]",-1371.9328722453085
5333.37890625,"[-6250, 6954)",-25.0,"(-48, -16]",4893.8394648829435
5333.37890625,"[-6250, 6954)",-25.0,"(-48, -16]",2478.674603174603
5333.37890625,"[-6250, 6954)",-25.0,"(-48, -16]",-1244.0208364641342
6930.7421875,"[-6250, 6954)",-25.0,"(-48, -16]",-160.98964803312631
6930.7421875,"[-6250, 6954)",-25.0,"(-48, -16]",-1489.5438596491224
8657.44140625,"[6954, inf)",-25.0,"(-48, -16]",2196.734848484848
10112.8828125,"[6954, inf)",-25.0,"(-48, -16]",280.6283333333331
10549.2734375,"[6954, inf)",-25.0,"(-48, -16]",3736.1239371663823
10549.2734375,"[6954, inf)",-25.0,"(-48, -16]",1304.4444444444443
10549.2734375,"[6954, inf)",-25.0,"(-48, -16]",5307.5
11407.65625,"[6954, inf)",-25.0,"(-48, -16]",-3858.069597069596
12525.5234375,"[6954, inf)",-25.0,"(-48, -16]",-341.2857142857147
12650.0625,"[6954, inf)",-25.0,"(-48, -16]",3876.083333333334
13365.3125,"[6954, inf)",-25.0,"(-48, -16]",2544.3976470588227
17875.125,"[6954, inf)",-25.0,"(-48, -16]",2285.469565217392
18613.234375,"[6954, inf)",-25.0,"(-48, -16]",1958.2000000000005
20193.58984375,"[6954, inf)",-25.0,"(-48, -16]",449.9754808614634
23761.91015625,"[6954, inf)",-25.0,"(-48, -16]",5868.08
23981.9296875,"[6954, inf)",-25.0,"(-48, -16]",-722.041666666667
30850.68359375,"[6954, inf)",-25.0,"(-48, -16]",-296.4511358247773
34770.88671875,"[6954, inf)",-25.0,"(-48, -16]",-6038.4850000000015
54153.15625,"[6954, inf)",-25.0,"(-48, -16]",545.2000000000003
59820.50390625,"[6954, inf)",-25.0,"(-48, -16]",-2076.625
-29418.072265625,"[-inf, -6250)",-24.0,"(-48, -16]",201.03363506425967
-29418.072265625,"[-inf, -6250)",-24.0,"(-48, -16]",1143.6054679211888
-29418.072265625,"[-inf, -6250)",-24.0,"(-48, -16]",-340.5217426718
-26701.9296875,"[-inf, -6250)",-24.0,"(-48, -16]",-623.7714285714283
-26442.03125,"[-inf, -6250)",-24.0,"(-48, -16]",-9397.3125
-24180.74609375,"[-inf, -6250)",-24.0,"(-48, -16]",1351.9431438127085
-22491.55078125,"[-inf, -6250)",-24.0,"(-48, -16]",1189.7000000000007
-19211.078125,"[-inf, -6250)",-24.0,"(-48, -16]",-2186.7762179888887
-17899.515625,"[-inf, -6250)",-24.0,"(-48, -16]",-5619.16
-17335.40625,"[-inf, -6250)",-24.0,"(-48, -16]",-4428.68
-17335.40625,"[-inf, -6250)",-24.0,"(-48, -16]",-2722.776223776224
-16661.17578125,"[-inf, -6250)",-24.0,"(-48, -16]",4110.88888888889
-16222.765625,"[-inf, -6250)",-24.0,"(-48, -16]",2948.240000000001
-14494.19921875,"[-inf, -6250)",-24.0,"(-48, -16]",1565.8794343085722
-13154.39453125,"[-inf, -6250)",-24.0,"(-48, -16]",1357.0647059872524
-12692.1171875,"[-inf, -6250)",-24.0,"(-48, -16]",529.8351648351651
-12655.859375,"[-inf, -6250)",-24.0,"(-48, -16]",699.2134387351781
-12522.47265625,"[-inf, -6250)",-24.0,"(-48, -16]",-4285.648809523809
-11732.3828125,"[-inf, -6250)",-24.0,"(-48, -16]",4966.38538835588
-11655.953125,"[-inf, -6250)",-24.0,"(-48, -16]",-169.1262626262624
-11655.953125,"[-inf, -6250)",-24.0,"(-48, -16]",-1110.731092436975
-9883.6015625,"[-inf, -6250)",-24.0,"(-48, -16]",1332.77193820285
-9687.44921875,"[-inf, -6250)",-24.0,"(-48, -16]",-1471.2816666666665
-8637.140625,"[-inf, -6250)",-24.0,"(-48, -16]",385.625
-7931.578125,"[-inf, -6250)",-24.0,"(-48, -16]",-1020.5347222222223
-1318.0234375,"[-6250, 6954)",-24.0,"(-48, -16]",-12610.590909090908
-1148.91796875,"[-6250, 6954)",-24.0,"(-48, -16]",2452.823717948718
-517.015625,"[-6250, 6954)",-24.0,"(-48, -16]",3155.589743589744
1557.90625,"[-6250, 6954)",-24.0,"(-48, -16]",-1402.7066666666665
1775.3203125,"[-6250, 6954)",-24.0,"(-48, -16]",-3540.6636155606407
3541.08203125,"[-6250, 6954)",-24.0,"(-48, -16]",4437.293333333333
3762.55859375,"[-6250, 6954)",-24.0,"(-48, -16]",462.41608391608406
4914.63671875,"[-6250, 6954)",-24.0,"(-48, -16]",-3813.3339724597054
5526.625,"[-6250, 6954)",-24.0,"(-48, -16]",-1583.592380952381
5855.9921875,"[-6250, 6954)",-24.0,"(-48, -16]",-6557.992307692307
5872.26171875,"[-6250, 6954)",-24.0,"(-48, -16]",1477.3478260869572
7316.46484375,"[6954, inf)",-24.0,"(-48, -16]",198.0
8255.4140625,"[6954, inf)",-24.0,"(-48, -16]",870.7600000000003
8657.44140625,"[6954, inf)",-24.0,"(-48, -16]",-865.7329192546566
9537.12109375,"[6954, inf)",-24.0,"(-48, -16]",582.9115384615378
14574.14453125,"[6954, inf)",-24.0,"(-48, -16]",606.666666666667
17135.34375,"[6954, inf)",-24.0,"(-48, -16]",1363.2788461538455
22170.2890625,"[6954, inf)",-24.0,"(-48, -16]",7679.140774158322
23981.9296875,"[6954, inf)",-24.0,"(-48, -16]",-3474.491228070175
24523.53125,"[6954, inf)",-24.0,"(-48, -16]",-1242.4133333333334
24797.40625,"[6954, inf)",-24.0,"(-48, -16]",-12731.760619421368
26715.31640625,"[6954, inf)",-24.0,"(-48, -16]",3679.6349206349214
27949.1484375,"[6954, inf)",-24.0,"(-48, -16]",49.6521739130435
29907.67578125,"[6954, inf)",-24.0,"(-48, -16]",1504.318181818182
31451.49609375,"[6954, inf)",-24.0,"(-48, -16]",113.66476190476169
43972.9453125,"[6954, inf)",-24.0,"(-48, -16]",376.456923076923
45102.72265625,"[6954, inf)",-24.0,"(-48, -16]",464.368530020704
-39493.12890625,"[-inf, -6250)",-23.0,"(-48, -16]",3294.3051282051274
-30181.83203125,"[-inf, -6250)",-23.0,"(-48, -16]",-6355.5
-25412.1484375,"[-inf, -6250)",-23.0,"(-48, -16]",1311.8108974358975
-22781.33984375,"[-inf, -6250)",-23.0,"(-48, -16]",-208.57608695652198
-22137.74609375,"[-inf, -6250)",-23.0,"(-48, -16]",-2754.2900000000004
-17711.7421875,"[-inf, -6250)",-23.0,"(-48, -16]",1553.8076610206824
-16192.265625,"[-inf, -6250)",-23.0,"(-48, -16]",511.0461538461541
-15774.05859375,"[-inf, -6250)",-23.0,"(-48, -16]",-1230.0769230769229
-13871.2265625,"[-inf, -6250)",-23.0,"(-48, -16]",-308.1785714285716
-12264.4609375,"[-inf, -6250)",-23.0,"(-48, -16]",-560.7973856209152
-12264.4609375,"[-inf, -6250)",-23.0,"(-48, -16]",387.04
-12264.4609375,"[-inf, -6250)",-23.0,"(-48, -16]",-4786.03090909091
-12264.4609375,"[-inf, -6250)",-23.0,"(-48, -16]",282.8815384615391
-12264.4609375,"[-inf, -6250)",-23.0,"(-48, -16]",-866.586153846154
-12264.4609375,"[-inf, -6250)",-23.0,"(-48, -16]",1489.4363636363632
-12264.4609375,"[-inf, -6250)",-23.0,"(-48, -16]",-904.5200000000003
-12116.9765625,"[-inf, -6250)",-23.0,"(-48, -16]",-2814.8577777777773
-11651.2421875,"[-inf, -6250)",-23.0,"(-48, -16]",-130.80392156862672
-11651.2421875,"[-inf, -6250)",-23.0,"(-48, -16]",-2483.656808142181
-10846.79296875,"[-inf, -6250)",-23.0,"(-48, -16]",8029.942857142856
-10798.953125,"[-inf, -6250)",-23.0,"(-48, -16]",-75.56651290915123
-10615.40625,"[-inf, -6250)",-23.0,"(-48, -16]",1063.8643478260874
-10154.9921875,"[-inf, -6250)",-23.0,"(-48, -16]",272.3799999999992
-10154.9921875,"[-inf, -6250)",-23.0,"(-48, -16]",863.9743589743588
-10093.0625,"[-inf, -6250)",-23.0,"(-48, -16]",-244.50649350649383
-10093.0625,"[-inf, -6250)",-23.0,"(-48, -16]",-2332.409090909091
-9654.50390625,"[-inf, -6250)",-23.0,"(-48, -16]",1799.509667975
-9282.79296875,"[-inf, -6250)",-23.0,"(-48, -16]",3505.8833333333323
-9225.6328125,"[-inf, -6250)",-23.0,"(-48, -16]",1803.989069287101
-9225.6328125,"[-inf, -6250)",-23.0,"(-48, -16]",163.90833333333285
-9033.515625,"[-inf, -6250)",-23.0,"(-48, -16]",3608.627692307692
-7124.56640625,"[-inf, -6250)",-23.0,"(-48, -16]",1434.3552631578948
-5583.28515625,"[-6250, 6954)",-23.0,"(-48, -16]",-1748.0309090909095
-4374.2890625,"[-6250, 6954)",-23.0,"(-48, -16]",2173.1948686136348
-4374.2890625,"[-6250, 6954)",-23.0,"(-48, -16]",-3470.9419226945765
-4118.78125,"[-6250, 6954)",-23.0,"(-48, -16]",-1607.0570617670005
-3472.49609375,"[-6250, 6954)",-23.0,"(-48, -16]",1222.799532376923
-3472.49609375,"[-6250, 6954)",-23.0,"(-48, -16]",-462.54166666666697
-3403.5546875,"[-6250, 6954)",-23.0,"(-48, -16]",-1.8294925409236384
-3114.875,"[-6250, 6954)",-23.0,"(-48, -16]",-1220.5422202266673
-2798.96484375,"[-6250, 6954)",-23.0,"(-48, -16]",1736.8000000000004
-2798.96484375,"[-6250, 6954)",-23.0,"(-48, -16]",666.4522144207223
-2766.84375,"[-6250, 6954)",-23.0,"(-48, -16]",3334.85606060606
-2766.84375,"[-6250, 6954)",-23.0,"(-48, -16]",5462.148571428572
-2766.84375,"[-6250, 6954)",-23.0,"(-48, -16]",4882.007575757576
-2766.84375,"[-6250, 6954)",-23.0,"(-48, -16]",-1609.7650286856006
-2766.84375,"[-6250, 6954)",-23.0,"(-48, -16]",-900.7478260869556
-1656.53125,"[-6250, 6954)",-23.0,"(-48, -16]",1334.3212676168116
-1587.42578125,"[-6250, 6954)",-23.0,"(-48, -16]",-6424.1168831168825
-1002.08984375,"[-6250, 6954)",-23.0,"(-48, -16]",-1543.2133333333331
-934.1875,"[-6250, 6954)",-23.0,"(-48, -16]",1366.971428571428
-422.7734375,"[-6250, 6954)",-23.0,"(-48, -16]",-603.2256653094428
-379.23828125,"[-6250, 6954)",-23.0,"(-48, -16]",-1668.8333333333335
195.83203125,"[-6250, 6954)",-23.0,"(-48, -16]",2292.849802371541
697.2890625,"[-6250, 6954)",-23.0,"(-48, -16]",4624.329968046987
3003.01171875,"[-6250, 6954)",-23.0,"(-48, -16]",3000.1703979494805
3377.99609375,"[-6250, 6954)",-23.0,"(-48, -16]",752.818910174753
3685.4296875,"[-6250, 6954)",-23.0,"(-48, -16]",-450.5815576218174
4646.71875,"[-6250, 6954)",-23.0,"(-48, -16]",-1065.5978260869563
4958.35546875,"[-6250, 6954)",-23.0,"(-48, -16]",-1335.0190925582085
6230.00390625,"[-6250, 6954)",-23.0,"(-48, -16]",2035.5487034692435
6635.6953125,"[-6250, 6954)",-23.0,"(-48, -16]",9256.92549019608
7172.49609375,"[6954, inf)",-23.0,"(-48, -16]",2887.9666666666662
8384.5,"[6954, inf)",-23.0,"(-48, -16]",-716.3800000000001
8384.5,"[6954, inf)",-23.0,"(-48, -16]",-1196.0989473684215
8657.44140625,"[6954, inf)",-23.0,"(-48, -16]",664.8363308049767
10071.890625,"[6954, inf)",-23.0,"(-48, -16]",6951.875
10369.74609375,"[6954, inf)",-23.0,"(-48, -16]",648.2412587412591
10369.74609375,"[6954, inf)",-23.0,"(-48, -16]",-1564.3543948366332
10736.80859375,"[6954, inf)",-23.0,"(-48, -16]",848.7183333333332
12546.72265625,"[6954, inf)",-23.0,"(-48, -16]",2109.807374209238
16233.34765625,"[6954, inf)",-23.0,"(-48, -16]",2029.3927116139484
19111.9609375,"[6954, inf)",-23.0,"(-48, -16]",-1541.0340909090899
19111.9609375,"[6954, inf)",-23.0,"(-48, -16]",2460.8939393939395
19821.9765625,"[6954, inf)",-23.0,"(-48, -16]",-890.7
20099.83984375,"[6954, inf)",-23.0,"(-48, -16]",1134.4489603567065
27028.62890625,"[6954, inf)",-23.0,"(-48, -16]",446.49231599439514
30672.45703125,"[6954, inf)",-23.0,"(-48, -16]",-372.2736683681501
40671.12109375,"[6954, inf)",-23.0,"(-48, -16]",-1526.2799999999993
40930.20703125,"[6954, inf)",-23.0,"(-48, -16]",-360.91985904600006
40930.20703125,"[6954, inf)",-23.0,"(-48, -16]",896.9326923076924
40930.20703125,"[6954, inf)",-23.0,"(-48, -16]",44.53442028985501
44296.0390625,"[6954, inf)",-23.0,"(-48, -16]",1763.5129411764706
68340.6875,"[6954, inf)",-23.0,"(-48, -16]",320.2398190045251
-30843.109375,"[-inf, -6250)",-22.0,"(-48, -16]",-2559.7535125705
-30568.3671875,"[-inf, -6250)",-22.0,"(-48, -16]",1464.0
-30568.3671875,"[-inf, -6250)",-22.0,"(-48, -16]",-2030.666666666667
-30103.21875,"[-inf, -6250)",-22.0,"(-48, -16]",327.59500000000025
-27042.3046875,"[-inf, -6250)",-22.0,"(-48, -16]",-1222.3399999999995
-26135.3671875,"[-inf, -6250)",-22.0,"(-48, -16]",754.5089285714283
-20756.08203125,"[-inf, -6250)",-22.0,"(-48, -16]",3279.3194246298804
-20469.8984375,"[-inf, -6250)",-22.0,"(-48, -16]",257.5952380952367
-18664.62109375,"[-inf, -6250)",-22.0,"(-48, -16]",-1004.9313996568179
-17910.1328125,"[-inf, -6250)",-22.0,"(-48, -16]",-2537.678571428572
-17199.953125,"[-inf, -6250)",-22.0,"(-48, -16]",4134.222222222223
-17199.953125,"[-inf, -6250)",-22.0,"(-48, -16]",-1643.875
-15328.0703125,"[-inf, -6250)",-22.0,"(-48, -16]",1187.1794871794882
-10269.078125,"[-inf, -6250)",-22.0,"(-48, -16]",243.5395403165212
-9703.76953125,"[-inf, -6250)",-22.0,"(-48, -16]",-663.0833333333335
-9703.76953125,"[-inf, -6250)",-22.0,"(-48, -16]",-555.018923757375
-9703.76953125,"[-inf, -6250)",-22.0,"(-48, -16]",-305.82142857142844
-9556.546875,"[-inf, -6250)",-22.0,"(-48, -16]",1306.1219047619045
-8542.44140625,"[-inf, -6250)",-22.0,"(-48, -16]",553.0666666666666
-8163.859375,"[-inf, -6250)",-22.0,"(-48, -16]",4092.7157984739697
-7587.46875,"[-inf, -6250)",-22.0,"(-48, -16]",1084.625
-6767.85546875,"[-inf, -6250)",-22.0,"(-48, -16]",1379.648888888889
-6767.85546875,"[-inf, -6250)",-22.0,"(-48, -16]",1032.0476190476193
-5609.41796875,"[-6250, 6954)",-22.0,"(-48, -16]",-378.7045454545455
-5358.62890625,"[-6250, 6954)",-22.0,"(-48, -16]",-3403.382136273601
-4455.80078125,"[-6250, 6954)",-22.0,"(-48, -16]",-2647.5200000000004
-3765.36328125,"[-6250, 6954)",-22.0,"(-48, -16]",754.6307692307687
-3222.17578125,"[-6250, 6954)",-22.0,"(-48, -16]",-553.625
-312.87890625,"[-6250, 6954)",-22.0,"(-48, -16]",-319.8125
-191.9921875,"[-6250, 6954)",-22.0,"(-48, -16]",-4973.138768512549
1113.5390625,"[-6250, 6954)",-22.0,"(-48, -16]",-5719.52
1130.234375,"[-6250, 6954)",-22.0,"(-48, -16]",-1012.125
2858.18359375,"[-6250, 6954)",-22.0,"(-48, -16]",441.2337662337659
3018.2265625,"[-6250, 6954)",-22.0,"(-48, -16]",-864.8476190476193
3405.96875,"[-6250, 6954)",-22.0,"(-48, -16]",-1197.5
4405.24609375,"[-6250, 6954)",-22.0,"(-48, -16]",2188.413333333333
5062.5390625,"[-6250, 6954)",-22.0,"(-48, -16]",-2498.0
5062.5390625,"[-6250, 6954)",-22.0,"(-48, -16]",1538.5904761904758
5062.5390625,"[-6250, 6954)",-22.0,"(-48, -16]",-1038.125
5156.21875,"[-6250, 6954)",-22.0,"(-48, -16]",705.291666666667
5542.56640625,"[-6250, 6954)",-22.0,"(-48, -16]",763.0714274785255
6471.9765625,"[-6250, 6954)",-22.0,"(-48, -16]",204.4497971595747
8282.890625,"[6954, inf)",-22.0,"(-48, -16]",704.9057971014499
9820.328125,"[6954, inf)",-22.0,"(-48, -16]",-1785.0
9842.82421875,"[6954, inf)",-22.0,"(-48, -16]",-791.9432956943821
10551.828125,"[6954, inf)",-22.0,"(-48, -16]",709.7369686323317
10615.6171875,"[6954, inf)",-22.0,"(-48, -16]",632.1654870702966
10615.6171875,"[6954, inf)",-22.0,"(-48, -16]",-945.9861538461546
10936.20703125,"[6954, inf)",-22.0,"(-48, -16]",-502.84000000000015
12669.7109375,"[6954, inf)",-22.0,"(-48, -16]",-2687.7591586234657
15077.4921875,"[6954, inf)",-22.0,"(-48, -16]",955.8435325024357
