delta_WS_bin,n_moves,mean,bottom_ci,top_ci
"(-80, -48]",181,-50.068588493224674,15.456389177620977,16.271277672084594
"(-48, -16]",1561,-15.52131262839369,5.397001560573864,5.495936978042087
"(-16, 16]",3888,1.0217695362257249,3.4879170343172863,3.515785450747236
"(16, 48]",1513,23.39297585215494,5.172704074598389,5.390027631490113
"(48, 80]",181,57.08915553279363,16.25656085739171,17.803286205137653
