delta_WS,delta_WS_bin,delta_mins,n_moves
41.0,"(16, 48]",48.726797263546715,30
42.0,"(16, 48]",29.771775579798764,27
43.0,"(16, 48]",12.42812064879371,23
44.0,"(16, 48]",33.84759061235725,28
45.0,"(16, 48]",48.991750681304495,21
46.0,"(16, 48]",36.72057222279226,17
47.0,"(16, 48]",48.66144574439634,21
48.0,"(16, 48]",42.89267343267104,25
49.0,"(48, 80]",70.37366998246267,25
50.0,"(48, 80]",69.03998338574117,18
51.0,"(48, 80]",72.29929719186752,9
52.0,"(48, 80]",20.373961701278635,14
53.0,"(48, 80]",118.65792385632935,10
54.0,"(48, 80]",23.619458420051703,17
55.0,"(48, 80]",62.43024481486122,11
56.0,"(48, 80]",44.91748444656881,13
57.0,"(48, 80]",2.487133655394509,6
58.0,"(48, 80]",35.69391124871002,5
59.0,"(48, 80]",129.32528554778557,6
60.0,"(48, 80]",68.73764541745426,6
61.0,"(48, 80]",93.41506521739132,5
62.0,"(48, 80]",98.37938382116143,3
63.0,"(48, 80]",68.3120715069244,6
64.0,"(48, 80]",-37.35395959595958,5
65.0,"(48, 80]",33.69627926421407,2
66.0,"(48, 80]",66.95771198830415,4
68.0,"(48, 80]",24.524679487179473,2
69.0,"(48, 80]",33.327198616600796,4
70.0,"(48, 80]",4.967878787878727,3
71.0,"(48, 80]",119.37121212121211,1
75.0,"(48, 80]",-45.69149583579246,3
76.0,"(48, 80]",143.3451923076923,2
77.0,"(48, 80]",367.81818181818215,1
