move_relative_day_bin,mean,top_ci,bottom_ci
"[-98, -70)",6316.07618384624,6401.248744735463,6230.903622957017
"[-70, -42)",6146.548611690272,6226.698140793922,6066.399082586622
"[-42, -14)",6036.338497895901,6113.582591990824,5959.094403800978
"[14, 42)",5638.709789423839,5705.710764193482,5571.7088146541955
"[42, 70)",5821.109209719214,5901.969532877112,5740.248886561316
"[70, 98)",5890.845313379558,5984.607356703539,5797.0832700555775
