ws_diff,ws_diff_bin,steps_diff
-50.0,"(-80, -48]",-2885.9984615384615
-50.0,"(-80, -48]",354.54515050167174
-49.0,"(-80, -48]",-585.8729096989969
-49.0,"(-80, -48]",-5430.416666666667
-49.0,"(-80, -48]",-2826.3397806501366
-49.0,"(-80, -48]",-1826.7738095238094
-49.0,"(-80, -48]",-2588.190476190476
-49.0,"(-80, -48]",-4797.9196427575325
-49.0,"(-80, -48]",-18.391304347826008
-49.0,"(-80, -48]",578.2111111111112
-49.0,"(-80, -48]",-47.060386473429396
-49.0,"(-80, -48]",-664.8076923076924
-49.0,"(-80, -48]",-791.5694444444442
-49.0,"(-80, -48]",-7366.9708441689445
-49.0,"(-80, -48]",-4217.317506256585
-49.0,"(-80, -48]",-1487.2539682539689
-49.0,"(-80, -48]",-6856.28
-49.0,"(-80, -48]",168.86544680512546
-49.0,"(-80, -48]",-1542.814016789095
-48.0,"(-80, -48]",1690.6428571428567
-48.0,"(-80, -48]",-627.0566321477772
-48.0,"(-80, -48]",-754.0533333333333
-48.0,"(-80, -48]",2134.1515151515155
-48.0,"(-80, -48]",-1358.6898395721919
-48.0,"(-80, -48]",-878.7215909090901
-48.0,"(-80, -48]",819.0905263157903
-48.0,"(-80, -48]",-4549.76238459012
-48.0,"(-80, -48]",-11211.615384615383
-48.0,"(-80, -48]",-1462.897233201581
-48.0,"(-80, -48]",-5833.179842987121
-48.0,"(-80, -48]",528.0333333333328
-48.0,"(-80, -48]",-2905.386395808172
-48.0,"(-80, -48]",-862.1111111111113
-48.0,"(-80, -48]",-1875.3266666666668
-48.0,"(-80, -48]",-1288.59
-48.0,"(-80, -48]",430.23149315742586
-48.0,"(-80, -48]",-5837.0
-48.0,"(-80, -48]",850.3476923076922
-48.0,"(-80, -48]",-247.4285714285716
-48.0,"(-80, -48]",701.1262626262624
-48.0,"(-80, -48]",-2819.491428571429
-47.0,"(-48, -16]",-697.4436090225572
-47.0,"(-48, -16]",1656.0625
-47.0,"(-48, -16]",518.0119047619046
-47.0,"(-48, -16]",159.2578689120387
-47.0,"(-48, -16]",-347.37272727272733
-47.0,"(-48, -16]",-1746.5171500902622
-47.0,"(-48, -16]",-4811.426153846154
-47.0,"(-48, -16]",1305.1640662450286
-47.0,"(-48, -16]",-3626.9448140765776
-47.0,"(-48, -16]",-2665.428571428572
-47.0,"(-48, -16]",1919.5944055944053
-47.0,"(-48, -16]",-538.0
-47.0,"(-48, -16]",-2961.289548821853
-47.0,"(-48, -16]",5963.416666666668
-47.0,"(-48, -16]",813.2348879981923
-47.0,"(-48, -16]",348.77228545699967
-47.0,"(-48, -16]",-153.2323076923076
-46.0,"(-48, -16]",1806.674242424242
-46.0,"(-48, -16]",-4353.5
-46.0,"(-48, -16]",-682.352727272727
-46.0,"(-48, -16]",-1280.7777777777776
-46.0,"(-48, -16]",-5290.181818181818
-46.0,"(-48, -16]",-399.52313646439967
-46.0,"(-48, -16]",1575.9411161449625
-46.0,"(-48, -16]",-972.3617801338287
-46.0,"(-48, -16]",2780.81221719457
-46.0,"(-48, -16]",-3142.297950101698
-46.0,"(-48, -16]",-1564.9916687068746
-46.0,"(-48, -16]",4908.970989893949
-46.0,"(-48, -16]",-974.3131313131323
-46.0,"(-48, -16]",2658.785714285715
-46.0,"(-48, -16]",-2129.4736842105267
-46.0,"(-48, -16]",-973.787878787878
-46.0,"(-48, -16]",95.81502302121409
-46.0,"(-48, -16]",444.65909090909105
-46.0,"(-48, -16]",-3337.560606060607
-46.0,"(-48, -16]",-4647.423245614035
