steps_diff,ws_diff,ws_diff_bin,Move Season
-3523.1875,-51.0,"(-80, -48]",Spring
-1533.221052631579,-51.0,"(-80, -48]",Summer
-22.149999999999643,-51.0,"(-80, -48]",Spring
-447.3272727272727,-51.0,"(-80, -48]",Summer
164.09935897435938,-51.0,"(-80, -48]",Fall
-3169.888888888889,-51.0,"(-80, -48]",Fall
-409.515789473684,-51.0,"(-80, -48]",Summer
3470.212318332624,-51.0,"(-80, -48]",Fall
1620.3184509279995,-51.0,"(-80, -48]",Spring
-736.3975597561902,-51.0,"(-80, -48]",Fall
58.24223602484382,-50.0,"(-80, -48]",Fall
-2158.833333333334,-50.0,"(-80, -48]",Summer
-6755.263157894738,-50.0,"(-80, -48]",Fall
947.1818181818179,-50.0,"(-80, -48]",Winter
-2735.708333333333,-50.0,"(-80, -48]",Summer
2908.5,-50.0,"(-80, -48]",Summer
-2729.0166666666664,-50.0,"(-80, -48]",Spring
-1689.995555555555,-50.0,"(-80, -48]",Fall
-1697.8000000000004,-50.0,"(-80, -48]",Fall
-50.451923076923784,-50.0,"(-80, -48]",Spring
1882.15,-50.0,"(-80, -48]",Winter
-2885.9984615384615,-50.0,"(-80, -48]",Fall
354.54515050167174,-50.0,"(-80, -48]",Winter
-585.8729096989969,-49.0,"(-80, -48]",Spring
-5430.416666666667,-49.0,"(-80, -48]",Fall
-2826.3397806501366,-49.0,"(-80, -48]",Summer
-1826.7738095238094,-49.0,"(-80, -48]",Summer
-2588.190476190476,-49.0,"(-80, -48]",Summer
-4797.9196427575325,-49.0,"(-80, -48]",Fall
-18.391304347826008,-49.0,"(-80, -48]",Summer
578.2111111111112,-49.0,"(-80, -48]",Fall
-47.060386473429396,-49.0,"(-80, -48]",Fall
-664.8076923076924,-49.0,"(-80, -48]",Winter
-791.5694444444442,-49.0,"(-80, -48]",Fall
-7366.9708441689445,-49.0,"(-80, -48]",Summer
-4217.317506256585,-49.0,"(-80, -48]",Spring
-1487.2539682539689,-49.0,"(-80, -48]",Summer
-6856.28,-49.0,"(-80, -48]",Fall
168.86544680512546,-49.0,"(-80, -48]",Winter
-1542.814016789095,-49.0,"(-80, -48]",Summer
1690.6428571428567,-48.0,"(-80, -48]",Spring
-627.0566321477772,-48.0,"(-80, -48]",Winter
-754.0533333333333,-48.0,"(-80, -48]",Summer
2134.1515151515155,-48.0,"(-80, -48]",Summer
-1358.6898395721919,-48.0,"(-80, -48]",Winter
-878.7215909090901,-48.0,"(-80, -48]",Fall
819.0905263157903,-48.0,"(-80, -48]",Fall
-4549.76238459012,-48.0,"(-80, -48]",Summer
-11211.615384615383,-48.0,"(-80, -48]",Fall
-1462.897233201581,-48.0,"(-80, -48]",Fall
-5833.179842987121,-48.0,"(-80, -48]",Summer
528.0333333333328,-48.0,"(-80, -48]",Spring
-2905.386395808172,-48.0,"(-80, -48]",Summer
-862.1111111111113,-48.0,"(-80, -48]",Spring
-1875.3266666666668,-48.0,"(-80, -48]",Spring
-1288.59,-48.0,"(-80, -48]",Spring
430.23149315742586,-48.0,"(-80, -48]",Fall
-5837.0,-48.0,"(-80, -48]",Winter
850.3476923076922,-48.0,"(-80, -48]",Winter
-247.4285714285716,-48.0,"(-80, -48]",Summer
701.1262626262624,-48.0,"(-80, -48]",Fall
-2819.491428571429,-48.0,"(-80, -48]",Spring
-697.4436090225572,-47.0,"(-48, -16]",Fall
1656.0625,-47.0,"(-48, -16]",Fall
518.0119047619046,-47.0,"(-48, -16]",Spring
159.2578689120387,-47.0,"(-48, -16]",Winter
-347.37272727272733,-47.0,"(-48, -16]",Fall
-1746.5171500902622,-47.0,"(-48, -16]",Summer
-4811.426153846154,-47.0,"(-48, -16]",Winter
1305.1640662450286,-47.0,"(-48, -16]",Winter
-3626.9448140765776,-47.0,"(-48, -16]",Fall
-2665.428571428572,-47.0,"(-48, -16]",Spring
1919.5944055944053,-47.0,"(-48, -16]",Summer
-538.0,-47.0,"(-48, -16]",Fall
-2961.289548821853,-47.0,"(-48, -16]",Spring
5963.416666666668,-47.0,"(-48, -16]",Winter
813.2348879981923,-47.0,"(-48, -16]",Winter
348.77228545699967,-47.0,"(-48, -16]",Winter
-153.2323076923076,-47.0,"(-48, -16]",Summer
1806.674242424242,-46.0,"(-48, -16]",Winter
-4353.5,-46.0,"(-48, -16]",Fall
-682.352727272727,-46.0,"(-48, -16]",Fall
-1280.7777777777776,-46.0,"(-48, -16]",Summer
-5290.181818181818,-46.0,"(-48, -16]",Spring
-399.52313646439967,-46.0,"(-48, -16]",Spring
1575.9411161449625,-46.0,"(-48, -16]",Winter
-972.3617801338287,-46.0,"(-48, -16]",Winter
2780.81221719457,-46.0,"(-48, -16]",Winter
-3142.297950101698,-46.0,"(-48, -16]",Fall
-1564.9916687068746,-46.0,"(-48, -16]",Winter
4908.970989893949,-46.0,"(-48, -16]",Winter
-974.3131313131323,-46.0,"(-48, -16]",Spring
2658.785714285715,-46.0,"(-48, -16]",Winter
-2129.4736842105267,-46.0,"(-48, -16]",Summer
-973.787878787878,-46.0,"(-48, -16]",Summer
95.81502302121409,-46.0,"(-48, -16]",Fall
444.65909090909105,-46.0,"(-48, -16]",Winter
-3337.560606060607,-46.0,"(-48, -16]",Fall
-4647.423245614035,-46.0,"(-48, -16]",Spring
1746.863247863248,-46.0,"(-48, -16]",Fall
-4840.357142857143,-46.0,"(-48, -16]",Winter
-2082.636363636364,-46.0,"(-48, -16]",Fall
-4215.6564137270225,-46.0,"(-48, -16]",Fall
12.149999999999634,-46.0,"(-48, -16]",Spring
-4254.322022099513,-46.0,"(-48, -16]",Fall
449.40000000000015,-46.0,"(-48, -16]",Summer
-3153.1309523809527,-45.0,"(-48, -16]",Fall
436.67261904761926,-45.0,"(-48, -16]",Winter
140.76282051282126,-45.0,"(-48, -16]",Fall
2042.4736842105267,-45.0,"(-48, -16]",Winter
-426.5,-45.0,"(-48, -16]",Fall
-966.5,-45.0,"(-48, -16]",Fall
-341.625,-45.0,"(-48, -16]",Spring
468.23666666666674,-45.0,"(-48, -16]",Summer
3219.5,-45.0,"(-48, -16]",Summer
-5948.41304347826,-45.0,"(-48, -16]",Spring
-2781.239901888333,-45.0,"(-48, -16]",Fall
-1119.046153846154,-45.0,"(-48, -16]",Fall
2632.385396248147,-45.0,"(-48, -16]",Fall
824.0826121315476,-45.0,"(-48, -16]",Spring
1059.4375,-45.0,"(-48, -16]",Spring
3223.3160173160168,-45.0,"(-48, -16]",Winter
1.4642857142853245,-45.0,"(-48, -16]",Spring
-2702.412173913044,-45.0,"(-48, -16]",Spring
-518.7120105013228,-45.0,"(-48, -16]",Spring
-3494.8845703119987,-45.0,"(-48, -16]",Fall
1117.8421052631577,-45.0,"(-48, -16]",Fall
-4585.4,-44.0,"(-48, -16]",Spring
1778.1428571428567,-44.0,"(-48, -16]",Fall
-1305.212820512821,-44.0,"(-48, -16]",Winter
2433.112307692308,-44.0,"(-48, -16]",Fall
-1513.0343137254904,-44.0,"(-48, -16]",Summer
420.5,-44.0,"(-48, -16]",Winter
1486.208333333333,-44.0,"(-48, -16]",Spring
-490.6757894736843,-44.0,"(-48, -16]",Winter
2823.175,-44.0,"(-48, -16]",Summer
-461.375,-44.0,"(-48, -16]",Fall
1816.9449415988465,-44.0,"(-48, -16]",Winter
-1322.246796508056,-44.0,"(-48, -16]",Summer
501.58636363636384,-44.0,"(-48, -16]",Spring
-2643.206973560589,-44.0,"(-48, -16]",Fall
617.5,-44.0,"(-48, -16]",Summer
-4849.40819607581,-44.0,"(-48, -16]",Summer
4833.738190530568,-44.0,"(-48, -16]",Fall
-226.3716666666669,-44.0,"(-48, -16]",Fall
1118.7222222222224,-44.0,"(-48, -16]",Winter
-1705.1374999999996,-44.0,"(-48, -16]",Fall
-3770.482517482518,-44.0,"(-48, -16]",Spring
1887.6666666666665,-44.0,"(-48, -16]",Summer
-176.5034965034965,-44.0,"(-48, -16]",Spring
1349.04,-44.0,"(-48, -16]",Fall
3303.537595647981,-44.0,"(-48, -16]",Winter
-531.4119873029003,-44.0,"(-48, -16]",Fall
1888.2796074423925,-44.0,"(-48, -16]",Fall
-1552.9333333333334,-44.0,"(-48, -16]",Fall
-2915.015000000001,-44.0,"(-48, -16]",Fall
-841.0630473060005,-44.0,"(-48, -16]",Winter
-1099.4035087719303,-43.0,"(-48, -16]",Fall
1091.0516575615493,-43.0,"(-48, -16]",Fall
-2155.474578415859,-43.0,"(-48, -16]",Fall
984.3273809523816,-43.0,"(-48, -16]",Fall
-805.7238095238098,-43.0,"(-48, -16]",Spring
-3053.48,-43.0,"(-48, -16]",Fall
-1785.2694194907392,-43.0,"(-48, -16]",Winter
-326.2179487179492,-43.0,"(-48, -16]",Spring
-594.6421767415868,-43.0,"(-48, -16]",Summer
2508.190476190476,-43.0,"(-48, -16]",Winter
-1542.3571428571433,-43.0,"(-48, -16]",Winter
-3147.0489510489515,-43.0,"(-48, -16]",Winter
4266.466403162056,-43.0,"(-48, -16]",Spring
-416.1338461538453,-43.0,"(-48, -16]",Winter
2092.116929869293,-43.0,"(-48, -16]",Spring
3995.8797857780382,-43.0,"(-48, -16]",Winter
-3830.308537945713,-43.0,"(-48, -16]",Summer
2265.0714285714284,-43.0,"(-48, -16]",Spring
744.9107142857147,-43.0,"(-48, -16]",Summer
878.0927415185861,-43.0,"(-48, -16]",Spring
-511.95111111111146,-43.0,"(-48, -16]",Summer
-5393.608134425921,-42.0,"(-48, -16]",Spring
783.0166666666669,-42.0,"(-48, -16]",Spring
-2250.9110877945154,-42.0,"(-48, -16]",Summer
-4351.359999999999,-42.0,"(-48, -16]",Spring
-2682.666666666667,-42.0,"(-48, -16]",Summer
-2522.5649350649355,-42.0,"(-48, -16]",Summer
-4081.590909090909,-42.0,"(-48, -16]",Summer
-3546.8418574060747,-42.0,"(-48, -16]",Spring
-5571.618397136248,-42.0,"(-48, -16]",Summer
458.20787165775033,-42.0,"(-48, -16]",Spring
-10384.97619047619,-42.0,"(-48, -16]",Summer
-47.480000000000466,-42.0,"(-48, -16]",Fall
3491.039507184357,-42.0,"(-48, -16]",Winter
3898.313725490196,-42.0,"(-48, -16]",Fall
4892.076923076924,-42.0,"(-48, -16]",Summer
-3603.5,-42.0,"(-48, -16]",Fall
992.413333333333,-42.0,"(-48, -16]",Fall
1025.9366230700523,-42.0,"(-48, -16]",Winter
416.4953846153849,-42.0,"(-48, -16]",Summer
-242.85314685314685,-42.0,"(-48, -16]",Spring
-2285.5333333333333,-42.0,"(-48, -16]",Fall
-450.4727272727273,-42.0,"(-48, -16]",Summer
-1302.184523809523,-42.0,"(-48, -16]",Spring
-532.3861538461538,-42.0,"(-48, -16]",Fall
-3668.4292307692303,-42.0,"(-48, -16]",Fall
-322.1208845222018,-42.0,"(-48, -16]",Spring
-1029.725,-42.0,"(-48, -16]",Spring
-1651.2447552447547,-42.0,"(-48, -16]",Spring
-4437.953716771937,-42.0,"(-48, -16]",Spring
-112.60000000000036,-42.0,"(-48, -16]",Spring
-2693.8125,-42.0,"(-48, -16]",Spring
-2826.636363636364,-42.0,"(-48, -16]",Summer
1922.161822520733,-42.0,"(-48, -16]",Spring
-635.4770351202496,-42.0,"(-48, -16]",Winter
-2214.461538461538,-42.0,"(-48, -16]",Winter
5395.772727272727,-42.0,"(-48, -16]",Spring
