ws_diff_bin,n_moves,mean,bottom_ci,top_ci
"(-80, -48]",182,-1225.323350512784,434.54210136363076,442.01244689081034
"(-48, -16]",1588,-356.97853306377857,141.17682708959006,145.2426906441706
"(-16, 16]",3954,22.852731901489538,98.35947462778626,98.66671180632014
"(16, 48]",1543,459.56245627811666,139.82108111692435,142.8026707327342
"(48, 80]",180,1147.342519175685,468.0577691479981,494.3287317299523
