ws_diff,ws_diff_bin,steps_diff
-75.0,"(-80, -48]",3924.2052631578963
-75.0,"(-80, -48]",-3048.838167984002
-74.0,"(-80, -48]",-1097.0248065562537
-73.0,"(-80, -48]",-1952.961538461538
-69.0,"(-80, -48]",-987.590909090909
-68.0,"(-80, -48]",1291.7421277012782
-67.0,"(-80, -48]",1804.2857142857144
-66.0,"(-80, -48]",-3761.263157894737
-66.0,"(-80, -48]",505.463768115942
-66.0,"(-80, -48]",-3686.362352941176
-65.0,"(-80, -48]",2403.642931118223
-65.0,"(-80, -48]",2363.75
-64.0,"(-80, -48]",-809.3920273902887
-64.0,"(-80, -48]",806.3142857142857
-61.0,"(-80, -48]",-6073.627705627707
-61.0,"(-80, -48]",5361.8
-60.0,"(-80, -48]",-2389.558270072082
-60.0,"(-80, -48]",4619.444444444444
-60.0,"(-80, -48]",333.85714285714266
-59.0,"(-80, -48]",-300.27999999999975
-58.0,"(-80, -48]",1624.2862603063427
-58.0,"(-80, -48]",548.6858974358976
-58.0,"(-80, -48]",398.49275362318804
-57.0,"(-80, -48]",2000.6
-57.0,"(-80, -48]",-174.78119757561763
-57.0,"(-80, -48]",880.625
-57.0,"(-80, -48]",-10952.605263157895
-57.0,"(-80, -48]",-970.5555555555555
-57.0,"(-80, -48]",-6134.94085975023
-57.0,"(-80, -48]",-185.19578947368427
-57.0,"(-80, -48]",-2304.2485104999123
-56.0,"(-80, -48]",-2781.216842105263
-56.0,"(-80, -48]",-5520.264347826086
-55.0,"(-80, -48]",3272.95
-54.0,"(-80, -48]",-1005.9027777777783
-54.0,"(-80, -48]",-1558.7675577793002
-54.0,"(-80, -48]",-159.82244835870893
-54.0,"(-80, -48]",1159.5874125874125
-54.0,"(-80, -48]",4699.777777777777
-54.0,"(-80, -48]",-2238.850000000001
-53.0,"(-80, -48]",-1871.166666666666
-53.0,"(-80, -48]",-909.2892307692308
-52.0,"(-80, -48]",-1013.0
-52.0,"(-80, -48]",2965.758333333333
-52.0,"(-80, -48]",3652.041666666667
-52.0,"(-80, -48]",-573.0
-52.0,"(-80, -48]",-787.3253628673566
-52.0,"(-80, -48]",5993.76
-52.0,"(-80, -48]",-4209.179487179486
-51.0,"(-80, -48]",-3169.888888888889
-51.0,"(-80, -48]",-1533.221052631579
-51.0,"(-80, -48]",1620.3184509279995
-51.0,"(-80, -48]",-22.149999999999643
-51.0,"(-80, -48]",-447.3272727272727
-50.0,"(-80, -48]",354.54515050167174
-50.0,"(-80, -48]",2908.5
-49.0,"(-80, -48]",-4217.317506256585
-49.0,"(-80, -48]",-1542.814016789095
-49.0,"(-80, -48]",-7366.9708441689445
-49.0,"(-80, -48]",-6856.28
-49.0,"(-80, -48]",-791.5694444444442
-49.0,"(-80, -48]",168.86544680512546
-48.0,"(-80, -48]",-1875.3266666666668
-48.0,"(-80, -48]",-627.0566321477772
-48.0,"(-80, -48]",-862.1111111111113
-48.0,"(-80, -48]",-5833.179842987121
-48.0,"(-80, -48]",-1462.897233201581
-48.0,"(-80, -48]",-2819.491428571429
-48.0,"(-80, -48]",850.3476923076922
-48.0,"(-80, -48]",-247.4285714285716
-48.0,"(-80, -48]",-1288.59
-47.0,"(-48, -16]",348.77228545699967
-47.0,"(-48, -16]",-538.0
-47.0,"(-48, -16]",159.2578689120387
-46.0,"(-48, -16]",-3337.560606060607
-46.0,"(-48, -16]",-5290.181818181818
-46.0,"(-48, -16]",12.149999999999634
-46.0,"(-48, -16]",-1470.6545454545446
-46.0,"(-48, -16]",-1280.7777777777776
-46.0,"(-48, -16]",449.40000000000015
-46.0,"(-48, -16]",2780.81221719457
-46.0,"(-48, -16]",-1564.9916687068746
-46.0,"(-48, -16]",2658.785714285715
-46.0,"(-48, -16]",-682.352727272727
-46.0,"(-48, -16]",444.65909090909105
-46.0,"(-48, -16]",4908.970989893949
-46.0,"(-48, -16]",-4647.423245614035
-46.0,"(-48, -16]",-2082.636363636364
-46.0,"(-48, -16]",1575.9411161449625
-46.0,"(-48, -16]",1495.2838827838834
-46.0,"(-48, -16]",-4840.357142857143
-45.0,"(-48, -16]",3219.5
-45.0,"(-48, -16]",-2702.412173913044
-45.0,"(-48, -16]",-3494.8845703119987
-45.0,"(-48, -16]",1117.8421052631577
-45.0,"(-48, -16]",436.67261904761926
-45.0,"(-48, -16]",824.0826121315476
-45.0,"(-48, -16]",140.76282051282126
-45.0,"(-48, -16]",2042.4736842105267
-45.0,"(-48, -16]",1059.4375
-44.0,"(-48, -16]",420.5
-44.0,"(-48, -16]",617.5
-44.0,"(-48, -16]",-4585.4
-44.0,"(-48, -16]",501.58636363636384
-44.0,"(-48, -16]",-461.375
-44.0,"(-48, -16]",-2915.015000000001
-44.0,"(-48, -16]",-1705.1374999999996
-44.0,"(-48, -16]",2433.112307692308
-44.0,"(-48, -16]",2052.875
-44.0,"(-48, -16]",1118.7222222222224
-44.0,"(-48, -16]",-2643.206973560589
-43.0,"(-48, -16]",3995.8797857780382
-43.0,"(-48, -16]",-805.7238095238098
-43.0,"(-48, -16]",984.3273809523816
-43.0,"(-48, -16]",-3830.308537945713
-43.0,"(-48, -16]",-1785.2694194907392
-43.0,"(-48, -16]",-1542.3571428571433
-43.0,"(-48, -16]",744.9107142857147
-43.0,"(-48, -16]",878.0927415185861
-42.0,"(-48, -16]",4892.076923076924
-42.0,"(-48, -16]",-1651.2447552447547
-42.0,"(-48, -16]",416.4953846153849
-42.0,"(-48, -16]",3898.313725490196
-42.0,"(-48, -16]",-3603.5
-42.0,"(-48, -16]",-3546.8418574060747
-42.0,"(-48, -16]",45.335268433902904
-42.0,"(-48, -16]",992.413333333333
-42.0,"(-48, -16]",-2693.8125
-42.0,"(-48, -16]",-1029.725
-42.0,"(-48, -16]",-635.4770351202496
-42.0,"(-48, -16]",3491.039507184357
-42.0,"(-48, -16]",-5393.608134425921
-42.0,"(-48, -16]",-242.85314685314685
-42.0,"(-48, -16]",1401.6911764705883
-42.0,"(-48, -16]",-4437.953716771937
-42.0,"(-48, -16]",1025.9366230700523
-42.0,"(-48, -16]",-4351.359999999999
-42.0,"(-48, -16]",-2214.461538461538
-42.0,"(-48, -16]",-5571.618397136248
-42.0,"(-48, -16]",-2285.5333333333333
