bottom_ci,mean,move_relative_day_bin,top_ci
434.36950249147685,3980.099351072969,"[-98, -70)",560.6936308626687
402.31348438672467,3840.8345488668638,"[-70, -42)",493.57010640020144
316.3192328004834,3786.9495832739094,"[-42, -14)",377.19995132244003
488.78991562764895,4957.861122196449,"[14, 42)",496.53138832998775
399.9883487018906,5017.282356302071,"[42, 70)",409.24615051015735
370.5263698389399,4720.936620661198,"[70, 98)",392.2985094429587
