bottom_ci,mean,move_relative_day_bin,top_ci
321.3928852040526,5529.5271508765045,"[-35, -25)",309.5520156779248
334.5230054779313,5745.162886838531,"[-25, -15)",338.28664716124786
372.4093147086005,5395.6692484708565,"[-15, -5)",358.7938103047072
319.13840344014534,7034.650455434963,"[5, 15)",327.0934497567623
300.55573761872984,6874.76055917106,"[15, 25)",298.48217100995225
321.9096523497128,7344.065494131731,"[25, 35)",325.2923917966855
