bottom_ci,mean,move_relative_day_bin,top_ci
903.7162429190748,6826.199644635627,"[-35, -25)",931.3569868127452
738.5130433710483,6720.155372234669,"[-25, -15)",746.7408119803194
818.6739969833479,6497.75162366904,"[-15, -5)",906.3498315187808
507.7664384034456,4218.667990703778,"[5, 15)",532.5493812701916
508.6278852518403,4532.436911067384,"[15, 25)",676.8976215782786
704.2311400742547,5228.937156934348,"[25, 35)",645.3698629956825
